benchmark,dune,dangless,oscar_estm
401.bzip2,1.000,1.001,1.000
403.gcc,1.000,1.005,1.050
429.mcf,1.000,1.000,1.000
433.milc,1.000,1.002,1.180
444.namd,1.007,1.022,1.010
445.gobmk,1.010,1.030,1.000
447.dealII,1.000,1.512,5.100
450.soplex,1.000,0.992,1.720
453.povray,1.000,1.119,1.400
456.hmmer,1.004,1.034,1.350
458.sjeng,1.001,1.004,1.000
462.libquantum,1.002,1.010,1.040
464.h264ref,1.001,1.014,1.100
470.lbm,1.001,1.002,1.000
473.astar,1.000,1.003,1.450
482.sphinx3,1.008,1.033,5.000
483.xalancbmk,1.000,1.942,2.800
