benchmark,dune,dangless,oscar_estm
401.bzip2,0.995,1.013,1.000
403.gcc,0.987,1.152,1.250
429.mcf,1.003,1.115,1.000
433.milc,1.039,1.107,1.055
444.namd,1.000,1.004,1.000
445.gobmk,1.001,1.025,1.005
447.dealII,1.008,1.074,2.900
450.soplex,1.004,1.030,1.040
453.povray,1.003,0.997,1.050
456.hmmer,1.023,1.023,1.007
458.sjeng,0.999,1.011,1.010
462.libquantum,0.993,0.995,1.025
464.h264ref,1.001,0.997,1.045
470.lbm,0.997,1.003,1.000
473.astar,1.013,1.246,1.400
482.sphinx3,1.012,1.030,1.080
483.xalancbmk,1.018,1.198,4.050
